"Component","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-15467","CRITICAL","libcrypto3","3.3.3-r0","3.3.6-r0","A critical vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-15467","CRITICAL","libssl3","3.3.3-r0","3.3.6-r0","A critical vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69420","HIGH","libcrypto3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69420","HIGH","libssl3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69421","HIGH","libcrypto3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69421","HIGH","libssl3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69419","HIGH","libcrypto3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69419","HIGH","libssl3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9230","HIGH","libcrypto3","3.3.3-r0","3.3.5-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9230","HIGH","libssl3","3.3.3-r0","3.3.5-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-15467","CRITICAL","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A medium vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-15467","CRITICAL","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A medium vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2021-46848","CRITICAL","libtasn1-6","4.18.0-4ubuntu0.1","4.18.0-4ubuntu0.2","A low vulnerability in deb package: libtasn1-6, version 4.18.0-4ubuntu0.1 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2024-32475","HIGH","envoy","1.35.2","1.27.5,1.28.3,1.29.4,11.30.1","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-6297","HIGH","dpkg","1.21.1ubuntu2.3","1.21.1ubuntu2.6","A low vulnerability in deb package: dpkg, version 1.21.1ubuntu2.3 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-13151","HIGH","libtasn1-6","4.18.0-4ubuntu0.1","4.18.0-4ubuntu0.2","A medium vulnerability in deb package: libtasn1-6, version 4.18.0-4ubuntu0.1 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69420","HIGH","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69420","HIGH","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69421","HIGH","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69421","HIGH","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69419","HIGH","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69419","HIGH","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-9230","HIGH","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.20","A medium vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-9230","HIGH","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.20","A medium vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-68973","HIGH","gpgv","2.2.27-3ubuntu2.4","2.2.27-3ubuntu2.5","A high vulnerability in deb package: gpgv, version 2.2.27-3ubuntu2.4 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-62504","HIGH","envoy","1.35.2","1.33.12,1.34.10,1.35.6,1.36.2","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-62409","HIGH","envoy","1.35.2","1.33.10,1.34.9,1.35.5,1.36.1","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-66220","HIGH","envoy","1.35.2","1.33.13,1.34.11,1.35.7,1.36.3","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61723","HIGH","stdlib","go1.25.1","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61725","HIGH","stdlib","go1.25.1","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61726","HIGH","stdlib","go1.25.1","1.24.12,1.25.6","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-58188","HIGH","stdlib","go1.25.1","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-58187","HIGH","stdlib","go1.25.1","1.24.9,1.25.3","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61729","HIGH","stdlib","go1.25.1","1.24.11,1.25.5","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61731","HIGH","stdlib","go1.25.1","1.24.12,1.25.6","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-68119","HIGH","stdlib","go1.25.1","1.25.6","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-15467","CRITICAL","libssl3","3.0.15-1~deb12u1","3.0.18-1~deb12u2","A critical vulnerability in deb package: libssl3, version 3.0.15-1~deb12u1 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libssl3"
