"Componenet","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69420","High","libcrypto3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69420","High","libssl3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9230","High","libcrypto3","3.3.3-r0","3.3.5-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9230","High","libssl3","3.3.3-r0","3.3.5-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2021-46848","Critical","libtasn1-6","4.18.0-4ubuntu0.1","4.18.0-4ubuntu0.2","A low vulnerability in deb package: libtasn1-6, version 4.18.0-4ubuntu0.1 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2024-32475","High","envoy","1.35.2","1.27.5,1.28.3,1.29.4,11.30.1","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-6297","High","dpkg","1.21.1ubuntu2.3","1.21.1ubuntu2.6","A low vulnerability in deb package: dpkg, version 1.21.1ubuntu2.3 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-13151","High","libtasn1-6","4.18.0-4ubuntu0.1","4.18.0-4ubuntu0.2","A medium vulnerability in deb package: libtasn1-6, version 4.18.0-4ubuntu0.1 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-9230","High","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.20","A medium vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-9230","High","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.20","A medium vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-68973","High","gpgv","2.2.27-3ubuntu2.4","2.2.27-3ubuntu2.5","A high vulnerability in deb package: gpgv, version 2.2.27-3ubuntu2.4 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-62504","High","envoy","1.35.2","1.33.12,1.34.10,1.35.6,1.36.2","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
